Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Rental Days,Last Operator ID,Expected Return Date
EQX1001,Excavator,S003,2025-04-01,2025-04-16,1.5,10,15,OP101,
EQX1002,Crane,,2025-03-10,2025-03-30,0,11,20,,
EQX1003,Bulldozer,S002,2025-02-15,2025-03-11,7.5,0.5,25,OP203,
EQX1004,Excavator,S004,2025-05-05,2025-05-15,2,9,10,OP106,
EQX1005,Bulldozer,S006,2025-01-01,2025-01-31,8,0,30,OP301,
EQX1006,Grader,S001,2025-04-05,2025-04-23,3,6,18,OP114,
EQX1007,Excavator,,2025-03-20,2025-04-01,0,12,12,,
EQX7777,Excavator,,2026-08-01,,0.0,11.0,4,,2026-08-03
EQX8888,Crane,S002,2026-06-01,2026-06-20,6.5,1.5,19,OP250,
EQX1012,Excavator,S002,,,10.0,2.0,45,OP504,
EQX6061,Excavator,S006,2026-06-28,,7.6,10.1,41,OP106,2026-08-08
